材料牌号或名称,名称备注,材料种类,材料成份,分子量,材料结构,材料特性,熔点,沸点,玻璃化转变温度,密度,硬度,结晶度,分解温度,pH值,摩擦系数,粘度,弹性模量,屈服强度,抗压强度,抗张强度,抗弯强度,切变强度,冲击强度,断后伸长率,断面收缩率,表面张力,表面自由能,熔化热,蒸发热,反应热,热膨胀系数,折射率,介电常数,电阻率,导电率,磁化率,表面电位,细胞毒性 ,全身毒性   ,遗传毒性 ,免疫毒性  ,刺激与致敏性,生物降解性,血液相容性,生物力学相容性,分子生物相容性,组织相容性,凝血活性,制备/加工,备注,应用,数据来源,数据整理人,数据校对人
聚烯烃,polyolefin,主要品种有聚乙烯以及以乙烯为基础的一些共聚物，如乙烯-醋酸乙烯共聚物，乙烯-丙烯酸或丙烯酸酯的共聚物，还有聚丙烯，聚l-丁烯，聚-4-甲基-1-戊烯，非晶聚烯烃，环烯烃聚合物。,由乙烯、丙烯、1-丁烯、l-戊烯、l-己烯、4-甲基-l-戊烯等&alpha;-烯烃以及某些环烯烃单独聚合或共聚合而得到的一类热塑性树脂的总称,,,相对密度小、耐化学品性、耐水性好，良好的机械强度、电绝缘性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生产方法有高压聚合、低压聚合(包括溶液法、浆液法、本体法、气相法),,可用于薄膜、管材、板材、各种成型制品、电线电缆等。在包装、农业、电子、电气、建筑、汽车、机械、日用杂货等方面有广泛的用途。,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-9～P12-10,李兰君,聂宇
聚乙烯,polyethylene，PE,高压法制得的聚乙烯，又称低密度聚乙烯；低压法制得的PE，又称高密度PE,,,化学式为-(C2H4)-,耐热性好，可高温灭菌消毒。聚乙烯属生物惰性材料，生物相容性较好，可耐生物老化和&gamma;射线辐射，易于加工成型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,由乙烯通过聚合反应制得,由于不能在正常灭菌温度下保持尺寸稳定性，已逐渐为聚丙烯所代替。低密度海绵状PE植入体内后，可引起多核巨细胞、炎性细胞和纤维组织增生，并将在体内自由基或氧作用下发生降解而导致机械性能降低。高密度特别是高分子量PE的生物相容性优于低密度PE,主要用于制造导管、T铜避孕器和包装材料。在特殊条件下制备的超高分子量(80万～300万)聚乙烯，软化点高(约200&#8451;)，蠕变小，冲击强度、抗应力开裂和耐磨性均很好，用于制造人工髋关节臼和复合人工骨材料。此外，聚乙烯在人工关节、人工鼻、人工耳、输尿管、胆管、气管等方面也得到应用,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-10,李兰君,聂宇
低密度聚乙烯,LDPE,,其组成仅为碳、氢两种原子,(3~4)*10<sup>3</sup>,结构通式-(CH<sub>2</sub>-CH<sub>2</sub>)<sub>n</sub>-,,熔融温度 108-126 &#8451;,,,0.912-0.925 g/cm<sup>3</sup>,,65-75%,,,,,96.60-262.20 MPa,,,"7.59-11.04 Mpa,极限拉伸强度4-16MPa",,,缺口冲击强度 >853.1 J/m,90-800%,,31 &mu;N/cm,,,,,,1.51(25&#8451;),介电常数(1MZH)2.25-2.35；介电损耗(1MZH) <0.0005,体积电阻率（23&#8451;）:1*10<sup>16</sup>&Omega;&bull;cm,,,,,,,,,,,,,,,,,,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-10<br>生物材料与组织工程，熊党生，科学出版社，2010年第一版，P129<br>高分子材料手册（上），杨鸣波主编，化学工业出版社，2009年第一版，P84,李兰君,聂宇
高密度聚乙烯,HDPE,,其组成仅为碳、氢两种原子,5*10<sup>5</sup>,结构通式-(CH<sub>2</sub>-CH<sub>2</sub>)<sub>n</sub>-,,熔融温度 126-135 &#8451;,,,0.926-0.940 g/cm<sup>3</sup>,,75-85%,,,,,172.50-379.50 MPa,,,11.73-12.46 MPa，极限拉伸强度21-40MPa,,,抗冲击强度 9 kJ/m<sup>2</sup>,20-100%,,,,,,,,1.52(25&#8451;),,体积电阻率:1*10<sup>17</sup>&Omega;&bull;cm,,,,,,,,,,,,,,,,,,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-10<br>生物材料与组织工程，熊党生，科学出版社，2010年第一版，P129<br>高分子材料手册（上），杨鸣波主编，化学工业出版社，2009年第一版，P84,李兰君,聂宇
超高分子量聚乙烯,UHMWPE,,其组成仅为碳、氢两种原子,(1~4)*10<sup>6</sup>,结构通式-(CH<sub>2</sub>-CH<sub>2</sub>)<sub>n</sub>-,,熔融温度 125-136 &#8451;,,,0.941-0.965 g/cm<sup>3</sup>,,85-95%,,,,,414.00-1242.00 MPa,21-25 MPa,,23.46-25.53 MPa，极限拉伸强度37-46MPa,,,抗冲击强度 >140 kJ/m<sup>2</sup>,200-525%,,,,,,,线膨胀系数：0.0002-0.000025 K<sup>-1</sup>；热导率：8.5W/(m&bull;K),1.54(25&#8451;),介电常数(1MZH)2.3,体积电阻率（23&#8451;）:>1*10<sup>16</sup>&Omega;&bull;cm,,,,,,,,,,,,,,,,,,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-10<br>生物材料与组织工程，熊党生，科学出版社，2010年第一版，P129<br>高分子材料手册（上），杨鸣波主编，化学工业出版社，2009年第一版，P84,李兰君,聂宇
聚丙烯,polypropylene，PP,,由丙烯聚合而成的一种热塑性树脂,重均分子量20万-70万，多分散系数1.2-5.6,,生物惰性材料，具有良好的力学性能和化学稳定性，可以经受高压蒸汽灭菌,161-163 &#8451;,,,0.9-0.905 g/cm<sup>3</sup>,洛氏硬度>90 (医用聚丙烯输液瓶专用树脂),58-59%，结晶温度103-105&#8451; （管、板材）；59-60% 结晶温度104-106&#8451;（薄膜）；61-62% 结晶温度104-107&#8451;（注塑）,,,,,弯曲弹性模量1.1-1.3 GPa (医用聚丙烯输液瓶专用树脂),>27 Mpa(医用聚丙烯输液瓶专用树脂),,,,,冲击韧性>4.5 kJ/m<sup>2</sup> (医用聚丙烯输液瓶专用树脂)；冲击强度：1.5-2 kJ/m<sup>2</sup>（管、板材），0.5-0.7 kJ/m<sup>2</sup>（薄膜），0.3-0.5 kJ/m<sup>2</sup>（注塑）,,,,,,,,"线膨胀系数：6.5*10<sup>-5</sup> K<sup>-1</sup> (-30-0 &#8451;),10.5*10<sup>-5</sup> K<sup>-1</sup> (0-30 &#8451;),14.0*10<sup>-5</sup> K<sup>-1</sup> (30-60 &#8451;)",,介电常数(1MZH)2.2-2.6；介电损耗(1MZH)<0.0005,,,,,,,,,,,,,,,,,为了提高医用聚丙烯的物理性能和可加工性，通常要加入一些添加剂，这些添加剂主要有抗氧化剂、光稳定剂、成核剂、润滑剂，铸模释放剂，阻燃剂、增滑剂等。,主要用于制造各种导管，输液容器，血液过滤器，注射器，输血、输液袋和包装材料等。PP纤维可用作鼓泡式氧合器的血液消泡过滤网，腹壁修补片，手术缝线等，并可制成中空纤维用于人工肺。,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-10<br>高分子材料手册（上），杨鸣波主编，化学工业出版社，2009年第一版，P112<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P663,李兰君,聂宇
聚氯乙烯,polyvinyl chloride，PVC,,是氯乙烯的聚合物,,,不溶于水，可溶于有机溶剂如环己酮、四氢呋喃等，耐热性不高，在光和热作用下释放出氯化氢，通常只能在70&#8451;以下使用,160 &#8451;,,75-85 &#8451;,1.2-1.4 g/cm<sup>3</sup>,,5-15 %,PVC的热稳定性十分差，受热分解脱出氯化氢（HCl），并形成多烯结构。PVC加热到100&#8451;，就开始脱HCl，达到130&#8451;时，已比较严重，超过150&#8451;，则脱HCl十分迅速。,,,,1.5-15 MPa,,,10-20 MPa,,,,100-450 %,,,,,,,"线膨胀系数：7*10<sup>-5</sup>~ 2.5*10<sup>-4</sup> K<sup>-1</sup>,热导率：0.12-0.16 W/(m&bull;K)",,,,,,,,对含较多增塑剂的软质PVC毒性问题仍有争议，因此仅限于制作与人体短期接触的制品。,,,,,,,,,PVC具有一定的抗凝血性和曲挠性，主要用于制作输血、输液袋，体外循环装置导管，鼓泡式氧合袋，尿袋等。,,但对含较多增塑剂的软质PVC毒性问题仍有争论，因此仅限于制作与人体短期接触的制品，要求其粉体中有毒单体含量必须低于(5～10)×10<sup>(-6)</sup>，经加工后低于1×10<sup>(-6)</sup>,其价格低廉，易于加工，是制备PVC塑料的主要原料。其制品一般呈微黄色，透明、柔软，在低温下逐渐变硬，长期使用会老化而变脆、变黄，并伴有增塑剂向表面迁移的“起霜”现象。PVC具有一定的抗凝血性和曲挠性，主要用于制作输血、输液袋，体外循环装置导管，鼓泡式氧合袋，尿袋等,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-10<br>高分子材料手册（上），杨鸣波主编，化学工业出版社，2009年第一版，P130,李兰君,聂宇
聚苯乙烯,polystyrene，PS,,,20万-30万,为无定形、非极性线性高聚物,PS的热性能与分子质量大小、单体低聚物及杂质含量有关。PS热变形温度为70～90&#8451;，脆化温度-30&#8451;，比热容1256-2093.3 J/(kg&bull;K)，导热系数低，制品的最高使用温度60～80&#8451;。化学稳定性良好，它能溶解于苯、四氯化碳、甲苯、氯仿、除丙酮以外的酮类、酯类等，能耐一般酸、碱、盐的腐蚀。透光率很好，达88%～92%，透光性仅次于有机玻璃，折射率为1.59～1.60。电绝缘性能优良。冲击强度较差，拉伸强度、弯曲强度较好。,150 &#8451;维卡软化点温度 100 &#8451,,100 &#8451;,1.04-1.07 g/cm<sup>3</sup>,洛氏硬度 65-90,,,,,,弹性模量3500 MPa；弯曲弹性模量3200 MPa,,115 MPa,50 MPa,105 MPa,,冲击韧性 16 kJ/m<sup>2</sup>,2%,,,,,,,线膨胀系数：0.00008 K<sup>-1</sup>；热导率：0.14 W/(m&bull;K),透光率很好，达88%～92%，透光性仅次于有机玻璃，折射率为1.59～1.60。,介电常数(1MZH)2.45-2.65；介电损耗(1MZH) 0.0001-0.0002,体积电阻率:1*10<sup>17</sup>-1*10<sup>19</sup> &Omega;&bull;cm,,,,,,,,,,,,,,,,氧指数 20,苯乙烯与丁二烯、丙烯腈的共聚物(称ABS树脂)具有很好的机械强度和加工性能，用于制备医疗器具如吸附型人工肾壳体等。苯乙烯与二乙烯苯共聚物可制成多种离子交换树脂和吸附树脂，广泛用于物质的吸附分离、净化等，在吸附型人工肾和人工肺解毒装置中，用于去除血液中的肌酐、尿酸、胆红素等内源性毒素及安眠药等外源性毒物。苯乙烯的共聚物制成球型，经高温裂解碳化后可制成多孔性碳化树脂，用来清除病人血液中有毒物质，如过量药物以及一些致病性抗体及其免疫复合物，在治疗红斑狼疮等临床应用中已取得良好疗效。,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-10<br>高分子材料手册（上），杨鸣波主编，化学工业出版社，2009年第一版，P148,李兰君,聂宇
聚丙烯腈,polyacrylonitrile，PAN,,,,,PAN基碳纤维具有良好的吸附性能,220-230 &#8451;,,"非晶相的低序态:80-100 &#8451;,非晶相的中序态:140-150 &#8451;",相对密度1.14-1.17,,,250-300 &#8451;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 丙烯腈单体在溶剂中由引发剂催化通过悬浮聚合方法制成的聚合物，是重要的合成纤维原料。PAN含量为85%共聚物称为腈纶，用于制造人工血管和制作超滤装置和透析型人工肾中的中空纤维，以超滤清除中、大分子物质。PAN纤维经高温碳化制成碳纤维，用于增强复合材料以制作假肢、假牙、人工肌腱、韧带、牙槽骨、下颌骨和软骨等。此外，丙烯腈-丁二烯共聚物与&alpha;-氰基丙烯酸丁酯的共聚物可做脑动脉瘤加固保护剂，称为脑颅胶。PAN基碳纤维具有良好的吸附性能，可用于制作吸附型人工肾、人工肝吸附装置。,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-10<br>高分子材料手册（上），杨鸣波主编，化学工业出版社，2009年第一版，P890<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P666,李兰君,聂宇
聚四氟乙烯,polytetrafluoroethylene，PTFE,,,,,是非极性、线型结晶聚合物，一般结晶度在55%～75%，有时高达94%；最高使用温度250&#8451;，脆化温度-190&#8451;，热变形温度(0.46MPa条件下)120&#8451;，吸湿率<0.01%，氧指数95，化学稳定性能好，能耐强酸、强碱、强氧化剂及“王水”的腐蚀，对很多物质均无黏附作用，可在-70～260&#8451;范围内使用，能耐受反复高温消毒灭菌，流变性好，易于加工成型,324 &#8451;,,,相对密度2.14-2.2,,55-75%,415 &#8451;,,,,拉伸弹性模量 400 GPa，压缩弹性模量 500 GPa，弯曲弹性模量 420 GPa,,,22-35 MPa,11-14 MPa,,冲击强度 163 J/m,200-400 %,,,,,,,线膨胀系数：0.00001 K<sup>-1</sup>,,介电常数(1MZH)<2.1；介电损耗(1MZH) <0.0002,体积电阻率:1*10<sup>17</sup>-1*10<sup>18</sup> &Omega;&bull;cm,,,,,,,,,,,,,,,,PTFE虽然毒性很小，热解产物却有一定的毒性。特别是在体内以颗粒形式出现时(如作为人工关节臼时因磨损产生的颗粒)，对其生物相容性会产生不利的影响。,主要应用在心血管系统方面，用作血管修复，人工心瓣膜的底环，阻塞球和缝合环包布，人工肺气体交换膜，人工肾和人工肝的解毒罐，心血管导管引导钢丝的表面涂层，体外血液回路和动、静脉接头等。此外，还可用在疝修复，食道、气管重建，牙槽脊增高，下颌骨重建，人工关节及鼓室成型方面。,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-10<br>高分子材料手册（上），杨鸣波主编，化学工业出版社，2009年第一版，P148,李兰君,聂宇
聚丙烯酸酯,polyacrylate,,以丙烯酸醋类为单体的均聚物或共聚物,,,丙烯酸酯类一般对人体无毒，具有良好的生物相容性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,广泛用于软、硬组织修复、组织黏合剂、血液透析、角膜接触镜等方面，是最早应用的生物材料之一。常用的有：1、聚甲基丙烯酸甲酯(PMMA)，俗称亲水有机玻璃(见聚甲基丙烯酸甲酿)；2、聚甲基丙烯酸羟乙酯；3、&alpha;-氰基丙烯酸酯(见聚&alpha;-氰基丙烯酸酯)一种组织黏合剂。此外，带长臂侧基的聚甲基丙烯酸烷基磺酸酯，具有类假肝素的性质，表现出良好的抗凝血性；带有叔胺基的聚丙烯酸酯，可以转化成季铵盐，从而与肝素结合，制备抗凝血表面，带长臂侧基的聚甲基丙烯酸活性酯，可以在温和条件下连接酶和多肽等生物活性物质；聚丙烯酸酯共聚物的丙酮-乙酸乙酯溶液，可做成气雾制剂，用作外伤敷料等。,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-10,李兰君,聂宇
聚甲基丙烯酸甲酯,polymethylmethacrylate，PMMA。俗称有机玻璃,是一系列丙烯酸酯聚合物中最重要的一种,,50万～l00万,,"PMMA分三种构型：无规立构、问规立构、等规立构。PMMA的最高使用温度65～95&#8451;，脆化温度9.2&#8451;，马丁耐热温度80&#8451;，热变形温度115&#8451;(1.85MPa)，126&#8451;(0.46MPa)，容易燃烧。PMMA的透光率可达90%～92%,是透光率最高的热塑性塑料。耐磨性差，其静摩擦系数为0.8。PMMA的电性能、机械性能、耐化学腐蚀性均良好。甲基丙烯酸甲酯和丁二烯共聚，抗冲击性能很好，表面硬度较高；甲基丙烯酸甲酯和苯乙烯共聚，耐热性能提高20&#8451;，表面硬度得到一定的提高，具有良好的生物相容性",熔融温度160～200 &#8451;，维卡软化点113 &#8451;,,l05 &#8451;,1.19～1.22g/cm<sup>3</sup>,,,,,,,拉伸弹性模量 2410 MPa，压缩弹性模量 2760 Mpa,,77-91.7 MPa,极限拉伸强度24-28.2 MPa （PMMA骨水泥）,,"剪切强度41 MPa ,断裂韧性0.88-1.55 MN&#8451;m<sup>-3/2</sup>（PMMA骨水泥）",,,,,,,,,,"PMMA的透光率可达90%～92%,是透光率最高的热塑性塑料",,,,,,,,,,,,,,,PMMA骨水泥的缺点是在聚合过程中释放的热量能引起周围组织的坏死，冷固过程中骨水泥的收缩会在骨水泥和骨之间留下缝隙，使骨和骨水泥间形成薄弱连接。,,,在聚合过程中释放的热量能引起周围组织的坏死，冷同过程中骨水泥的收缩会在骨水泥和骨之间留下缝隙，这使骨与骨水泥间形成薄弱连接,主要用作人工骨、骨水泥、人工关节，以此还可以用作齿科材料、臂骼黏合剂和颅骨修补等方面。其中，一般的PMMA是一种在加压条件下受热固化的聚合物，而后者，即外科矫正用的PMMA是一种可用于混合的自固化聚合物,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11,李兰君,聂宇
聚&alpha;-氰基丙烯酸甲酯,poly(&alpha;-cyanoacrylate),,,,丙烯酸酯分子中&alpha;碳上含有氰基的聚合物,强极性聚合物，溶于二甲基甲酰胺、硝基甲烷、乙腈等溶剂、加热至180&#8451;左右可分解；在-80&#8451;至软化点范围内均可有较高的抗拉强度。其单体在微量水等催化下可快速聚合成无色透明聚合物，固化时间为5～180s，加之&alpha;-氰基丙烯酸酯与蛋白质的氨基酸结合牢固，是常用的组织黏含剂,,,,相对密度 1.314 (20&#8451;),,,,,,,,,,33.1 MPa,,剪切强度 22 MPa,冲击强度0.3 J/cm<sup>2</sup>,,,0.0003741 N/cm,,,,,,1.443 (20&#8451;),,,,,,,,,,,,,,,,,,使用中要考虑聚合物在体内降解产物对组织的影响,临床上用于组织或皮肤黏结，破裂血管止血，管腔栓堵和黏合，神经连接，角膜手术，上颚裂的封闭，移动肾的固定，动脉血管瘤的加固保护，骨重建；骨和软骨断裂的修复，牙周敷料等。常用的&alpha;-氰基丙烯酸酯有甲酯、乙酯、丙酯、丁酯，异丁酯或戊酯等,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P670,李兰君,聂宇
聚&alpha;-氰基丙烯酸乙酯,,,,,,,,,,相对密度 1.23 (20&#8451;),,,,,,,,,,25.5 MPa,,剪切强度 13.7 MPa,冲击强度0.3 J/cm<sup>2</sup>,,,0.0003432 N/cm,,,,,,1.486 (20&#8451;),,,,,,,,,,,,,,,,,,,,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P670,李兰君,聂宇
聚&alpha;-氰基丙烯酸丁酯,,,,,,,,,,相对密度 1.145 (20&#8451;),,,,,,,,,,16.8 MPa,,剪切强度 4.5 MPa,冲击强度0.5 J/cm<sup>2</sup>,,,0.0003111 N/cm,,,,,,,,,,,,,,,,,,,,,,,,,,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P670,李兰君,聂宇
聚乙烯吡咯烷酮,"Polyvinyl pyrrolidone, PVP",,,如图 PVP分子量的测定及表征；PVP MW.jpg),,是一种非离子型水溶性高分子化合物，是N-乙烯基酰胺类聚合物中最具特色、且被研究得最深入、广泛的精细化学品品种。PVP既溶于水，又溶于大部分有机溶剂，毒性很低，生物相容性好。,,,如图 PVP玻璃化转变温度与分子量的关系；PVP Tg.jpg),相对密度 1.25 (25&#8451;),,,,,,,,,,,,,,,,,,,,,,1.53 (25&#8451;),,,,,,,经急性静脉注射毒性试验LD<sub>50</sub>为12-15g/kg；大鼠口服毒性试验LD<sub>50</sub>为100g/kg；慢性口服毒性试验，用1%-3%的PVP的饲料喂养狗和鼠24个月，未见中毒症状。,,PVP对人体不具有抗原性，也不抑制抗体的生成，人体可从消化道、腹下、皮下及静脉途径接受，未发现对人有任何致癌作用。,PVP具有优良的生物相容性，对皮肤、黏膜、眼等不形成任何刺激。,PVP不被肠胃道吸收，在非肠胃道医药中低分子量的PVP很容易从肾系统排出，而高分子量的PVP排出速率慢。分子量较小的PVP几天内可完全从尿中排除；分子量较高的PVP会缓慢的在体内积贮，主要是在网状内皮组织细胞内积贮，特别是在脾、肝、淋巴结、骨髓及肾中暂时积贮。其积贮及消失程度与分子量、摄入量、摄入时间有关。,,,,PVP在正常剂量下长期用药，也未发生组织损伤。对人体进行临床口服试验表明，一次给药3-50g之间都没有发现组织损伤。,,,,,水溶性高分子，严瑞轩主编，化学工业出版社，2010年第二版，P217<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P668,李兰君,聂宇
聚亚烷基丙二酸酯,polyalkylene malonate,,,,,是一类快速固化的医用组织黏合剂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其中亚烷基丙二酸二烷基酯和亚烷基丙二酸二烯丙酯等与&alpha;-氰基丙烯酸的低级烷基酯一样，生物相容性差，组织吸收慢，在使用上受到很大的限制。,为克服上述缺点，发展了一种新的亚烷基丙二酸甲基、烯丙基酯黏结剂。已用于血管、组织、肌肉、骨和牙的黏结，其综合性能较好，应用范围也较广,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11,李兰君,聂宇
聚丙烯酰胺,polyacrylamide，PAM,,丙烯酰胺的聚合物，系水溶性高分子,,,PAM对组织无毒，具有良好的生物相容性，但其单体有使神经肌肉功能失调的毒性，并对皮肤有刺激性，因此医用PAM中游离单体含量不得超过0.05%。PAM具有黏合性和絮凝性。由于含有亲水性和疏水性链段的嵌段共聚物能抗凝血，因而聚N，N-二取代丙烯酰胺，如聚N辛基-N-(2-羟乙基)丙烯酰胺P(OCTAAm)和聚N-苄基-N-(2-羟乙基)丙烯酰胺P(BENAAm)及共有关共聚物具有良好的血液相容性,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,可用丙烯酰胺水溶液，以过硫酸盐为引发剂进行溶液聚合或反相悬浮聚合(反相乳液聚合)等方法制造，有粉状、水溶液、乳液、珠状等形态,,用作医用黏结剂和合成生理黏液并正在研究用于合成人工血浆，其水凝胶具有抗凝血性和耐水稳定性好，吸水性强，可用于血液灌流的活性炭包覆微囊等,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11,李兰君,聂宇
聚醚,polyether,,,,分子主链中含醚键(-C-O-C-)的热塑性聚合物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,根据反应物的性质和反应条件可制得多种不同性质和组成的聚醚,,常用的医用聚醚有：1、环氧树脂，由芳香二环氧化合物聚合而成，具有优良的化学耐蚀性和粘接力，用作齿科修复材料；2、聚环氧乙烷(聚氧化乙烯)，可用作药物缓释载体(见药物缀释一章)；3、聚氧化亚甲基，即聚甲醛(见前面)；4、聚环氧丙烷(聚氧化丙烯)，用于制作抗凝血的聚氨酯弹性体等。此外，氧化乙烯和氧化丙烯的ABA型嵌段共聚物，可用于制作含硝酸银的水凝胶敷料等，聚苯醚可用于制造医用器械等。,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-11,李兰君,聂宇
聚乙二醇,,,,如图 各种牌号PEG的性质；PEG property.jpg),,,如图 各种牌号PEG的性质；PEG property.jpg),,,如图 各种牌号PEG的性质；PEG property.jpg),,,,,,,,,,,,,,,,如图 PEG水溶液的表面张力；PEG SurfaceTension.jpg),,,,,,如图 各种牌号PEG的性质；PEG property.jpg),,,,,,PEG是一类低毒或无毒的聚合物。,用含4%的PEG饲料喂养兔子40天，未见任何中毒症状。,,,PEG对皮肤无任何刺激性，对眼睛的刺激也很轻微。用4%的PEG水溶液滴入兔子眼中，未引起刺激作用。,,,,,,,,,,水溶性高分子，严瑞轩主编，化学工业出版社，2010年第二版，P117<br>高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P671,李兰君,聂宇
泊洛沙姆407,,,,11500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,口服液态泊洛沙姆的LD<sub>50</sub>为1g/kg以上，半固体和固体为10g/kg以上。其他途径给服，如静脉注射或腹腔内注射泊洛沙姆的LD<sub>50</sub>要低一些。,,,局部使用时，没有刺激性，也不会致敏。,泊洛沙姆分子不具有生物降解性，体内通过吞噬被消除。,,,,泊洛沙姆407具有特殊的反向热凝胶作用，即低温时（4-5&#8451;）为液体，体温下称为凝胶，其毒性低，刺激性小，生物相容性好，被广泛用于医学、要学领域。,,,,,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P672,李兰君,聂宇
