材料牌号或名称,名称备注,材料种类,材料成份,分子量,材料结构,材料特性,熔点,沸点,玻璃化转变温度,密度,硬度,结晶度,分解温度,pH值,摩擦系数,粘度,弹性模量,屈服强度,抗压强度,抗张强度,抗弯强度,切变强度,冲击强度,断后伸长率,断面收缩率,表面张力,表面自由能,熔化热,蒸发热,反应热,热膨胀系数,折射率,介电常数,电阻率,导电率,磁化率,表面电位,细胞毒性 ,全身毒性   ,遗传毒性 ,免疫毒性  ,刺激与致敏性,生物降解性,血液相容性,生物力学相容性,分子生物相容性,组织相容性,凝血活性,制备/加工,备注,应用,数据来源,数据整理人,数据校对人
人工腱,artificial tendon,,常由高分子及其复合材料配合硅橡胶等隔离膜构成，如硅橡胶与涤纶复合材料，碳纤维与聚乳酸等可生物降解高分子复合材料,,,硅橡胶具有弹性，可屈性，表面光滑，置人体内12～16周后即可形成一个新的柔软、光滑、完整的结缔组织鞘管，并有滑膜细胞增生，分泌少量的滑膜液,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,由于硅橡胶在人体内不能自行吸收，故一般需在植入一段时间后二次手术取出，再置入自体肌腱。此外可用于人工腱的高分子还有尼龙、聚氯乙烯、聚四氟乙烯等。,用于修复或替换人体肌腱以恢复关节活动功能的一种软组织修复体。硅橡胶可作为预防手指屈肌腱修复后或游离肌腱移植后发生粘连的隔离膜,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-16,李兰君,聂宇
软组织充填材料,space-filling soft tissue implant,,主要由高分子材料制成，如聚二甲基硅氧烷，聚乙烯醇、聚四氟乙烯、聚氯乙烯以及亲水性聚合物如聚甲基丙烯酸酯等,,有液态、海绵状及凝胶状等不同结构和形态,液态充填植入体，如硅酮等可直接注射入待充填部位，通过在位交联聚合而使其固定，其优点是手术创伤小，但引起的组织反应较强烈，同时易发生植入体移动等同题，不推荐采用。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,常用的方法是，将硅酮凝胶等封入用高分子材料如硅橡胶制成的袋中，再植入体内，为利于组织长入而固定植入体，常用聚酯等网状聚合物作袋的背底,一般说来，软组织充填植入体仅起到充填和机械支撑作用，长期应用可能发生松动、移位、刺激及产生黏液性囊肿等问题,用于充填或修整因创伤、外科手术和先天产生的软组织畸形或缺损的植入体。用于隆乳、胸腔软组织充填、颌面整形，以及人工阴茎、睾丸、阴道等,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-16,李兰君,聂宇
人工心脏瓣膜,heart valve implant；cardiac valve prosthesis,人工心脏瓣膜种类繁多,其结构大体相同，均由缝合环、瓣架和阻塞体构成。,,,缝合环用以早期固定瓣膜于患者心脏瓣环，由医用高分子材料编织物或多孔物制成，便于缝合，常用材料为聚四氟乙烯、聚丙烯、涤纶、硅橡胶等；瓣架用以限制阻塞体作开闭运动，由表面覆盖有高分子织物的金属架构成，以降低噪声，但由于织物易疲劳破坏，已用具有优良血液相容性的热解碳涂层所替代，金属材料则主要是不锈钢、钛和钴基合金；阻塞体随心脏的收缩或舒张、心脏内压的变化而作开闭运动，以保证血液单向流动，其形状各异，有球形、碟片形、凸透镜形等，可用聚丙烯、聚甲醛、硅橡胶、钛或钴基合金制成，但是大量使用的已是表面有热解碳涂层的石墨或金属涂层材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,常用的人工心瓣膜还有生物瓣膜，是以生物衍生的猪主动脉瓣或牛心包作为人工心瓣膜的瓣，起阻塞体相似的作用。,,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-16,李兰君,聂宇
血液净化材料,blood purification materials,用于血液净化的高分子制品有血液透析膜、血液过滤膜和血浆分离膜,常做成平板型、中空纤维型及盘管型等不同形态使用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用合成材料制成能承担透析、过滤、分离和吸附功能的膜或吸附剂的一整套装置，以辅助完成人体肝脏、肾脏的过滤和清除有毒物质的功能,,用于清除血液或血浆中致病因子的材料，主要用在人工肾或人工肝辅助装置中，以清除肾或肝功能衰竭、尿毒症、药物中毒等患者血液中有毒物质的材料。血浆分离膜用于滤出肝衰竭患者含毒物的血浆，并将血细胞和补充的健康人血浆送返患者，以达到清“肝毒物”的目的,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-16,李兰君,聂宇
血液吸附材料,adsorbent in hemoperfusion,按照吸附材料对致病物质的选择性高低，可将吸附材料分为特异选择性吸附材料、选择性吸附材料及非选择性吸附材料。常用的血液吸附材料有活性炭、多孔性吸附树脂、碳化树脂、固定化蛋白，DNA以及固定化抗原等,血液循环的体外辅助装置中用以吸附和清除病人血液中致病因子(如类风湿因子，肿瘤坏死因子，内毒素，家族性高脂血症中患者体内过量的总胆固醇，低密度脂蛋白-胆固醇，甘油三酯，尿毒症患者血液中的致病中分子物质等)的材料,,,具有高度的选择特异性；良好的生物相容性；较高的机械强度；易于灭菌；无毒、无致敏性及储存稳定性等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,目前国内正处于临床试验阶段的吸附产品主要有用于清除血液中低密度脂蛋白的吸附产品，用于清除类风湿因子治疗重症类风湿关节炎的产品，用于清除血液中肿瘤坏死因子的吸附产品，用于清除血液中内源性毒物的吸附产品。,目前已应用于临床的血液吸附材料主要包括：①用于治疗家族性高脂血症的吸附材料，国外的有直接用于全血漕流的产品，用于血浆灌流的有以磺化葡聚糖为配基、纤维素为载体的产品，以白蛋白为配基的产品；②用于治疗系统性红斑狼疮的血液吸附产品，国内的主要有以碳化树脂为载体、火棉胶包埋的DNA为配基的吸附产品；③用于治疗药物中毒的吸附材料，国内主要有大孔树脂为载体的吸附产品；④用于清除血液中胆红素过多的吸附产品。,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-16～P12-17,李兰君,聂宇
角膜接触镜,cornea contact lens，俗称隐形眼镜,角膜接触镜可分为硬角膜接触镜、半刚性角膜接触镜和软角膜接触镜,是一种直接贴附在角膜表面的镜片。硬角膜接触镜最早由玻璃，后由基本上不透氧的聚甲基内烯酸甲酯(PMMA)及可渗透氧的硅氧烷和丙烯酸酯共聚物制成。半刚性角膜接触镜由可渗透氧和可维持角膜表面的正常呼吸的疏水性硅橡胶制成，需使用专用润湿溶液米保持润湿。为满足舒适性和生理要求，目前大量使用的是软角膜接触镜，最常用的是由聚甲基丙烯酸羟乙酯(HEMA)制成的中心厚度为0.05mm的超薄镜片,,,由于其可随眼球运动而运动，具有普通眼镜所不能达到的视力矫正作用。HEMA是一种水凝胶，有良好的吸水性，HEMA分子为网状结构，使镜片具有吸附和释放低分子液体的功能，含水量越高，镜片的功能越好。现已发展了十余种新材料，如在HEMA中引入N-乙烯基吡喀烷酮(NVP)等亲水性单体以提高材料含水量，同时又加入疏水性单体如甲基丙烯酸甲酯(MMA)来提高机械强度等。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,目前的软角膜接触镜不可长期连续戴用，必须每天取下消毒，一些角膜重症及某些眼病患者不适宜使用软角膜接触镜,用于角膜不规则屈光面的矫正和角膜疾病的治疗。软角膜接触镜除可矫正角膜屈光面外，还有治疗角膜病的作用，如保护或封闭暴露的角膜溃疡和穿孔，促进角膜创口康复、治疗角膜水肿等。此外还可用于控制释放施于眼内的药物，如作为毛果芸香碱和四环素等的控制释放载体等,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-17,李兰君,聂宇
人工耳鼓膜,artificial tympanic membrane,,用于替代或修复因疾病、外伤或先天性畸形而损坏的生物耳鼓膜的植入体,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,人工耳鼓膜可由生物降解的聚羟基乙酸或丙酸与苄基氨基丁二酸-异己胺酸共聚物、聚四氟乙烯、双酚-A型聚碳酸酯、硅橡胶等制作，但尚未推广应用于临床。,生物耳鼓膜对进入外耳道的声波产生共振，并将其通过听小骨等传递至听觉神经，耳鼓膜损坏将导致传导性耳聋,临床上对耳鼓膜的修复通常是采用自体或异体组织移植,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-17,李兰君,聂宇
接骨板,internal fixation plate，又称骨板,按使用时加压与否分为普通接骨板和加压接骨板。加压接骨板又分为加压器型和自动加压型两类。按接骨板外形可分为条形、“L”形、钩形及鹅颈式、多孔形和三叉形等；按使用部位可分为股骨髁接骨板、股骨转子接骨板、肱骨下端接骨板，桡骨下端接骨板等,为常用的骨折内固定器件之一，常与骨螺钉或接骨丝联合使用。接骨板的制作材料主要有医用不锈钢、钛合金两类，也有用镍钛形状记忆合金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,由于金属接骨板的刚性，用于骨折内固定时可能发生应力屏蔽效应，影响断骨康复，因此发展了碳纤维等生物陶瓷增强可降解吸收高分子材料，如聚乳酸、聚羟基乙酸或其共聚物的复合材料接骨板，由于可降解高分子材料在体内被逐渐吸收，其刚性将随断骨康复而逐渐降低并最后消失，是一类正在继续发展的动态接骨板。,普通条形接骨板可用于长管骨的断，短斜形或短螺旋形骨折；钩形骨板适用于长管骨骨端骨折固定；“L”形骨板适用于肌骨下端或股骨、肱骨髁间骨折的内固定；三叉形和鹅颈式骨板分别适用于肱骨髁部骨折和股骨精隆间骨折的固定,师昌绪、李恒德、周廉。材料科学与工程手册。化学工业出版社、材料科学与工程出版中心。2004年1月第1版。P12-17,李兰君,聂宇
纤维蛋白原,,,是一种含2964个氨基酸的大分子的糖蛋白，存在于血浆中,340000,由两个相同的组分（均含有A&alpha;，B&beta;，C&gamma;链）组成六聚体，链间以二硫键相连。,特性粘度 0.25dL/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,纤维蛋白原可从来源于多受体的混合血浆中提取，也可从自体同源的单一受体的血浆中获得。不管从哪一种血浆中提取都可以采用枸橼酸钠处理冷冻沉淀法、硫酸铵沉淀法、聚乙二醇沉淀法和快速乙醇沉淀法。其原理主要利用在所有血浆蛋白质中纤维蛋白原溶解性最差、在低温下更差的特性。用这些方法获得的浓缩纤维蛋白原常含有XIII因子和抑肽酶。进一步的分离纯化可利用其在各种溶剂中溶解性差异及其等电点的溶解度最低的性质。,,纤维蛋白原在临床上主要用作生物降解性黏合剂或密封胶。,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P685,李兰君,聂宇
甲壳质,Chitin，又称甲壳素、几丁质,甲壳质由于晶胞内分子链的排列不同存在3种晶型即&alpha;-、&beta;-、&gamma;-甲壳质。,由&beta;(1&rarr;4)-2-乙酰氨基-2-脱氧-D-葡萄糖组成的线性天然多糖,,&alpha;-甲壳质是紧密连接的、链按反平行方式排列的多晶型结构；&beta;-甲壳质是链按平行方式排列的多晶型结构；&gamma;-甲壳质是两条链首尾连接的多晶型结构。&alpha;-甲壳质属斜方晶系，其单位晶格为a=0.474nm、b=1.886nm、c=1.032nm、&alpha;=&beta;=&gamma;=90&deg;。&beta;-甲壳质的晶粒为单斜晶系，其单位晶格为a=0.485nm、b=0.926nm、c=1.032nm、&alpha;=&beta;=90&deg;、&gamma;=97.5&deg;。&gamma;-甲壳质类似于&alpha;-、&beta;-甲壳质的混合物。,吸湿率可达400-500%,,,,,,,270&#8451;,,,,,,,,,,,,,,,,,,,甲壳质的比旋光度为-14&deg;~56&deg;（HCl）,,,,,,,甲壳质的毒性极低。口服、皮下给药、腹腔注射的急性毒性试验，口服长期毒性试验均显示非常小的毒性。,,,未发现甲壳质有诱变性、皮肤刺激性、眼黏膜刺激性、皮肤过敏、光毒性和光敏性。,甲壳质在体内通过刺激炎性细胞，产生溶菌酶而逐渐降解。降解过程主要为解聚，最终产生N-乙酰氨基葡萄糖，对组织细胞基本无毒副作用。,,,,,,甲壳质是用虾蟹等为原料分离无机盐和粗蛋白而获得的。提取过程包括用盐酸和氢氧化钠溶液转换溶解碳酸钙、提高温度水洗去处蛋白质，这样既可得到商品甲壳质。,,甲壳质用溶液纺丝可得到纤维，用于制造吸收型手术缝合线。其抗拉强度由于其他类型的手术缝合线如Dexon和Catgut，并有柔软、易打结、机械强度高、易被机体吸收、无炎症反应、有利于创口的愈合的特点。用甲壳质为主要材料制备的透析过滤膜、中空纤维等可用于制造各种人工器官，如人工肝脏、人工肾、人造骨等。甲壳质能选择性的凝聚白血病的L<sub>1210</sub>、Ehrlich腹水癌细胞，对正常的红细胞骨髓细胞无影响，可明显抑制肿瘤生长。,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P687<br>水溶性高分子，严瑞轩主编，化学工业出版社，2010年第二版，P415<br>几丁聚糖与临床医学，顾其胜、蒋丽霞主编，第二军医大学出版社，2004年第一版，P3,李兰君,聂宇
壳聚糖,Chitosan，又称壳多糖、几丁聚糖,,是甲壳质的脱乙酰衍生物，化学结构为&beta;(1&rarr;4)-2-氨基-2-脱氧-D-葡萄糖,,,,,,,,,如图 壳聚糖结晶度与脱乙酰度的关系；chitosan-crystallinity.jpg),,,,如图 壳聚糖脱乙酰度与黏度的关系；chitosan-viscosity.jpg),,,,,,,,,,,,,,,,,,,,,,,,,,,壳聚糖在体内通过刺激炎性细胞，产生溶菌酶而逐渐降解。降解过程主要为解聚，最终产生氨基葡萄糖，对组织细胞基本无毒副作用。,,,,壳聚糖及其衍生物具有良好的生物相容性和可生物降解性，其降解产物无毒副作用，可被人体吸收，在体内不蓄积，无免疫性。,用壳聚糖支撑止血海绵，能够立即止血。包扎用纱布经壳聚糖溶液处理后包扎伤口，能立即止血，并有消炎作用，伤口愈合速率提高22%-55%,壳聚糖由甲壳质在40%-50%氢氧化钠水溶液中，与110&#8451;-120&#8451;水解2-4h，断开酰胺键得到。此外，还可用酶法、微波法制备壳聚糖。,,用壳聚糖制成止血海绵，能够立即止血。壳聚糖无纺布具有透气、透水性，可用于大面积的烧、烫伤护理，能吸收组织渗出液，防止感染。壳聚糖作为药物载体材料使用时可制成颗粒、片剂、膜剂、微胶囊等剂型。在药物释放后基体材料能够被人体降解吸收，不会对人体组织造成损害。壳聚糖能有效的增加巨噬细胞的吞噬功能和水解酶的活性，通过增强机体非特异性免疫系统的功能而抑制肿瘤的生长。人体观察显示，摄食壳聚糖能有效降低血清胆固醇，同时可降低胃酸，抑制溃疡，具有健胃的作用。,高分子材料手册（下），杨鸣波主编，化学工业出版社，2009年第一版，P687<br>水溶性高分子，严瑞轩主编，化学工业出版社，2010年第二版，P415<br>几丁聚糖与临床医学，顾其胜、蒋丽霞主编，第二军医大学出版社，2004年第一版，P3,李兰君,聂宇
